Chr	GeneID	GeneName	Start	Stop	CodingLength	log2FoldChange	Foldchange	pval	padj
chr18	ENSG00000101670	LIPG	47087069	47119272	5690	-0.408	0.754	0.168809567	0.390087559
chr18	ENSG00000101665	SMAD7	46446223	46477081	3692	-0.084	0.943	0.720669252	0.870863132
chr18	ENSG00000101654	RNMT	13726659	13764557	6982	0.032	1.022	0.856867847	0.938330901
chr18	ENSG00000101639	CEP192	12991361	13125051	9897	0.181	1.133	0.375492534	0.619349254
chr18	ENSG00000101624	CEP76	12661832	12702776	6158	0.182	1.134	0.460629288	0.692888734
chr18	ENSG00000101608	MYL12A	3247479	3256234	3245	-0.349	0.785	0.082378216	0.246784627
chr18	ENSG00000101605	MYOM1	3066805	3220106	6573	-0.402	0.757	0.206022381	0.440127604
chr18	ENSG00000101596	SMCHD1	2655737	2805015	12210	-0.234	0.85	0.19687629	0.42888948
chr18	ENSG00000101577	LPIN2	2916992	3013313	6800	0.154	1.113	0.444315462	0.680426412
chr18	ENSG00000101574	METTL4	2537524	2571508	5724	-0.205	0.868	0.411967727	0.651405565
chr18	ENSG00000101558	VAPA	9913999	9960018	11880	-0.415	0.75	0.023497338	0.105815013
chr18	ENSG00000101557	USP14	158383	214629	5987	-0.054	0.963	0.777843996	0.898726507
chr18	ENSG00000101546	RBFA	77794358	77806397	3722	-0.093	0.937	0.734787815	0.87813143
chr18	ENSG00000101544	ADNP2	77866915	77905406	5893	-0.234	0.85	0.244648229	0.487666257
chr18	ENSG00000101542	CDH20	59000815	59223006	4119	-0.186	0.879	0.777110461	0.898282777
chr18	ENSG00000101493	ZNF516	74069644	74207146	8719	-1.164	0.446	0.02587173	0.113036466
chr18	ENSG00000101489	CELF4	34823010	35146000	6532	-0.526	0.695	0.208832054	0.444328779
chr20	ENSG00000101474	APMAP	24943561	24973615	2454	0.018	1.013	0.92044858	0.966679819
chr20	ENSG00000101473	ACOT8	44470360	44486045	4213	0.133	1.097	0.481102674	0.709101278
chr20	ENSG00000101464	PIGU	33148346	33264910	2755	0.124	1.09	0.479081964	0.707661732
chr20	ENSG00000101463	SYNDIG1	24449835	24647252	2847	-0.512	0.701	0.154891999	0.369408384
chr20	ENSG00000101460	MAP1LC3A	33134658	33148149	1762	-1.183	0.441	0.001532598	0.013376282
chr20	ENSG00000101457	DNTTIP1	44420576	44440066	1883	0.152	1.111	0.388078446	0.630850878
chr20	ENSG00000101452	DHX35	37590942	37668366	4930	0.197	1.146	0.360833457	0.606639128
chr20	ENSG00000101447	FAM83D	37554955	37581703	2429	0.798	1.739	8.98E-05	0.001179496
chr20	ENSG00000101445	PPP1R16B	37434348	37551667	6400	-1.33	0.398	0.004495843	0.031444801
chr20	ENSG00000101444	AHCY	32868074	32899608	3894	0.133	1.097	0.558611499	0.767392387
chr20	ENSG00000101443	WFDC2	44098346	44110172	1382	-0.342	0.789	0.263356884	0.506751619
chr20	ENSG00000101442	ACTR5	37377085	37400834	2236	0.185	1.136	0.459752018	0.692282213
chr20	ENSG00000101439	CST3	23608534	23619110	2504	-0.224	0.856	0.271771902	0.516993029
chr20	ENSG00000101425	BPI	36888551	36965907	5626	-1.422	0.373	0.033540427	0.135123012
chr20	ENSG00000101421	CHMP4B	32399110	32442172	1646	0.057	1.04	0.755042864	0.887061814
chr20	ENSG00000101417	PXMP4	32294512	32308125	1771	0.042	1.029	0.888538074	0.952716151
chr20	ENSG00000101413	RPRD1B	36661948	36720768	4243	0.055	1.039	0.745551466	0.883204203
chr20	ENSG00000101412	E2F1	32263489	32274210	2503	0.581	1.496	0.008110784	0.048708019
chr20	ENSG00000101407	TTI1	36611409	36661870	4122	0.249	1.188	0.147948077	0.358454323
chr20	ENSG00000101400	SNTA1	31995761	32031698	2342	0.062	1.044	0.750970984	0.885226812
chr20	ENSG00000101391	CDK5RAP1	31946645	31989367	4567	0.28	1.215	0.14288037	0.351045149
chr20	ENSG00000101384	JAG1	10618332	10654694	6292	-0.284	0.821	0.353959207	0.600738992
chr20	ENSG00000101367	MAPRE1	31407699	31438211	2623	-0.082	0.945	0.651831937	0.830194854
chr20	ENSG00000101365	IDH3B	2639041	2644865	2299	0.373	1.295	0.026794594	0.115775297
chr20	ENSG00000101363	MANBAL	35918041	35945663	2045	0.159	1.116	0.368614371	0.613443754
chr20	ENSG00000101361	NOP56	2632791	2639039	4761	0.55	1.464	0.00115073	0.010530996
chr20	ENSG00000101353	MROH8	35729629	35807991	3880	0.212	1.159	0.35358518	0.600465662
chr20	ENSG00000101350	KIF3B	30865467	30922814	6103	0.107	1.077	0.548855714	0.760272663
chr20	ENSG00000101347	SAMHD1	35518632	35580246	5214	0.032	1.022	0.903234664	0.958432979
chr20	ENSG00000101346	POFUT1	30795683	30826470	6426	0.017	1.012	0.920316945	0.966628282
chr20	ENSG00000101343	CRNKL1	20015012	20036690	4567	-0.236	0.849	0.185527545	0.412895309
chr20	ENSG00000101342	TLDC2	35504524	35522638	2553	0.292	1.225	0.251705621	0.494886571
chr20	ENSG00000101337	TM9SF4	30697309	30755061	5415	0.076	1.054	0.690776144	0.853648836
chr20	ENSG00000101336	HCK	30639991	30689659	3092	-5.466	0.023	6.85E-13	2.96E-11
chr20	ENSG00000101335	MYL9	35169887	35178228	1199	-0.432	0.741	0.277110845	0.522530479
chr20	ENSG00000101333	PLCB4	9049410	9461889	6900	0.203	1.151	0.405285967	0.645824753
chr20	ENSG00000101331	CCM2L	30598245	30619984	2596	-0.663	0.631	0.142053497	0.350113221
chr20	ENSG00000101327	PDYN	1959403	1974732	2648	0.294	1.226	0.611399149	0.803292938
chr20	ENSG00000101311	FERMT1	6055492	6104191	5359	-1.655	0.318	0.013189861	0.07037572
chr20	ENSG00000101310	SEC23B	18488137	18542059	4039	-0.132	0.913	0.464604017	0.696268275
chr20	ENSG00000101307	SIRPB1	1544167	1600707	6091	-1.607	0.328	0.001331761	0.011867774
chr20	ENSG00000101298	SNPH	1246960	1289972	5572	0.194	1.144	0.534268559	0.749920026
chr20	ENSG00000101294	HM13	30102231	30157370	5701	0.004	1.003	0.982789624	0.994773062
chr20	ENSG00000101290	CDS2	5107432	5178533	11893	0.11	1.079	0.512428677	0.733520309
chr20	ENSG00000101282	RSPO4	939095	982907	2710	0.69	1.614	0.019094874	0.090767497
chr20	ENSG00000101280	ANGPT4	853296	896977	1939	-0.138	0.909	0.837772473	0.929239162
chr20	ENSG00000101276	SLC52A3	740724	749131	3445	0.203	1.151	0.534858977	0.750404142
chr20	ENSG00000101266	CSNK2A1	459116	524465	5671	-0.033	0.977	0.853967818	0.937322412
chr20	ENSG00000101265	RASSF2	4760669	4804291	5759	-3.009	0.124	3.56E-14	1.73E-12
chr20	ENSG00000101255	TRIB3	361261	378203	2948	-0.395	0.76	0.065872595	0.212940198
chr20	ENSG00000101247	NDUFAF5	13765596	13799067	4056	-0.053	0.964	0.831324845	0.92611032
chr20	ENSG00000101246	ARFRP1	62329996	62339377	7610	0.049	1.034	0.781045174	0.900211525
chr20	ENSG00000101236	RNF24	3907956	3996229	7668	0.328	1.255	0.073976538	0.229797286
chr20	ENSG00000101230	ISM1	13202418	13281298	2593	-2.714	0.152	6.29E-05	0.00085836
chr20	ENSG00000101224	CDC25B	3767578	3786762	4149	0.574	1.488	0.015713687	0.079260067
chr20	ENSG00000101222	SPEF1	3758151	3762095	1925	-0.098	0.934	0.780304971	0.899947607
chr20	ENSG00000101220	C20orf27	3734155	3749034	2415	0.243	1.183	0.200510783	0.433136032
chr20	ENSG00000101216	GMEB2	62218955	62258394	4707	0.446	1.362	0.007276101	0.045079754
chr20	ENSG00000101213	PTK6	62159778	62168723	2523	-0.157	0.897	0.722252668	0.871084422
chr20	ENSG00000101210	EEF1A2	62119366	62130505	1843	-0.176	0.885	0.817596923	0.920545101
chr20	ENSG00000101199	ARFGAP1	61904137	61921142	6610	0.455	1.371	0.006428688	0.04105962
chr20	ENSG00000101198	NKAIN4	61872136	61904046	2668	-0.459	0.727	0.293444296	0.539290068
chr20	ENSG00000101194	SLC17A9	61584052	61599949	4480	-1.202	0.435	0.081074965	0.244293679
chr20	ENSG00000101193	GID8	61569471	61576996	1791	0.145	1.106	0.356985942	0.603475619
chr20	ENSG00000101191	DIDO1	61509090	61569304	13281	0.408	1.327	0.012821611	0.068923342
chr20	ENSG00000101190	TCFL5	61472467	61493115	3436	0.017	1.012	0.939597218	0.974827445
chr20	ENSG00000101189	MRGBP	61427805	61431945	1636	0.371	1.293	0.031488719	0.129259647
chr20	ENSG00000101187	SLCO4A1	61273797	61317137	4051	0.141	1.102	0.736636378	0.878883403
chr20	ENSG00000101182	PSMA7	60711791	60718496	1750	-0.096	0.935	0.613967445	0.805197337
chr20	ENSG00000101181	MTG2	60758085	60778624	5209	0.424	1.342	0.012688719	0.068366849
chr20	ENSG00000101166	SLMO2	57608200	57617964	2977	-0.183	0.881	0.310773663	0.55733075
chr20	ENSG00000101161	PRPF6	62612488	62664453	3044	0.422	1.339	0.01585027	0.079747781
chr20	ENSG00000101160	CTSZ	57570240	57582302	2038	-0.432	0.741	0.042127764	0.157886076
chr20	ENSG00000101158	NELFCD	57556263	57570188	6298	0.426	1.344	0.010511408	0.058978544
chr20	ENSG00000101152	DNAJC5	62526518	62567384	5304	0.309	1.239	0.105767335	0.289380459
chr20	ENSG00000101150	TPD52L2	62496596	62522898	4679	0.098	1.07	0.567155239	0.772456966
chr20	ENSG00000101146	RAE1	55926066	55954267	5855	0.259	1.196	0.096037632	0.272240284
chr20	ENSG00000101144	BMP7	55743804	55841685	5418	0.807	1.75	0.007291601	0.045129167
chr20	ENSG00000101138	CSTF1	54967427	54979518	2724	0.279	1.214	0.075959635	0.233681561
chr20	ENSG00000101134	DOK5	53092136	53267710	2604	0.041	1.028	0.892950174	0.95437613
chr20	ENSG00000101132	PFDN4	52824386	52844591	1975	-0.178	0.884	0.444647147	0.680627145
chr20	ENSG00000101126	ADNP	49505585	49547958	7133	0.302	1.233	0.105359514	0.288615769
chr20	ENSG00000101115	SALL4	50400581	50419059	4061	0.811	1.755	0.025528035	0.111967031
chr20	ENSG00000101109	STK4	43595115	43708600	9079	-0.07	0.952	0.695614767	0.856522047
chr20	ENSG00000101104	PABPC1L	43538703	43587676	4984	0.882	1.843	0.023218642	0.104830565
chr20	ENSG00000101098	RIMS4	43380449	43438979	5206	0.476	1.391	0.09135417	0.263488974
chr20	ENSG00000101096	NFATC2	50003494	50179370	8286	-1.052	0.482	0.003198256	0.024310527
chr20	ENSG00000101084	C20orf24	35234137	35240960	1517	-0.125	0.917	0.497367912	0.722092605
chr20	ENSG00000101082	SLA2	35240721	35274619	2757	-0.301	0.812	0.173795425	0.397423396
chr20	ENSG00000101079	NDRG3	35280169	35374481	3248	-0.001	0.999	0.994343309	0.998005473
chr20	ENSG00000101057	MYBL2	42295754	42345136	2682	1.204	2.304	7.60E-08	1.81E-06
chr20	ENSG00000101052	IFT52	42219571	42275936	2542	-0.084	0.943	0.641684911	0.823348164
chr20	ENSG00000101049	SGK2	42187608	42216877	3465	-0.241	0.846	0.545171328	0.757950774
chr20	ENSG00000101040	ZMYND8	45837859	45985567	7684	0.435	1.352	0.03172979	0.129893602
chr20	ENSG00000101019	UQCC1	33890369	33999944	6916	0.273	1.209	0.116893388	0.308831988
chr20	ENSG00000101017	CD40	44746911	44758502	2368	-1.145	0.452	0.000290941	0.003302597
chr20	ENSG00000101004	NINL	25433341	25566153	6008	1.022	2.031	0.000204392	0.002411424
chr20	ENSG00000101003	GINS1	25388363	25433264	4190	0.494	1.408	0.049937887	0.177671042
chr20	ENSG00000101000	PROCR	33759876	33765165	1348	-2.162	0.223	1.04E-06	2.05E-05
chr20	ENSG00000100997	ABHD12	25275379	25371619	3429	0.238	1.18	0.150676311	0.363108518
chr20	ENSG00000100994	PYGB	25228705	25278650	4474	0.262	1.199	0.141503124	0.349170464
chr20	ENSG00000100991	TRPC4AP	33590207	33680674	3226	0.104	1.075	0.545196967	0.757950774
chr20	ENSG00000100985	MMP9	44637547	44645200	2336	-5.362	0.024	4.16E-28	6.45E-26
chr20	ENSG00000100983	GSS	33516236	33543620	2325	0.173	1.128	0.29055974	0.536730066
chr20	ENSG00000100982	PCIF1	44563267	44576662	2832	0.231	1.174	0.160744129	0.377412028
chr20	ENSG00000100979	PLTP	44527399	44540794	2402	-0.712	0.61	0.004289771	0.030267281
chr14	ENSG00000100968	NFATC4	24834879	24848810	8437	0.048	1.034	0.799641522	0.911040417
chr14	ENSG00000100949	RABGGTA	24734744	24740945	3545	0.303	1.233	0.10488672	0.287783696
chr14	ENSG00000100941	PNN	39644387	39652422	4201	0.536	1.45	0.002895079	0.022336307
chr14	ENSG00000100938	GMPR2	24701628	24708448	3622	0.155	1.114	0.335260244	0.581432075
chr14	ENSG00000100934	SEC23A	39501123	39578850	9017	-0.364	0.777	0.106151233	0.290160192
chr14	ENSG00000100926	TM9SF1	24658349	24682679	4180	0.255	1.194	0.133060308	0.336229627
chr14	ENSG00000100918	REC8	24641062	24649463	3841	0.634	1.551	0.006531029	0.041463045
chr14	ENSG00000100916	BRMS1L	36295524	36401531	3897	-0.003	0.998	0.989894693	0.996627094
chr14	ENSG00000100911	PSME2	24612574	24616779	3579	0.023	1.016	0.906632852	0.960086925
chr14	ENSG00000100908	EMC9	24608174	24610797	1582	0.417	1.335	0.04800485	0.172844358
chr14	ENSG00000100906	NFKBIA	35870717	35873955	2373	-0.513	0.701	0.007265591	0.045030146
chr14	ENSG00000100902	PSMA6	35747839	35786699	6474	-0.038	0.974	0.845995511	0.93348008
chr14	ENSG00000100897	DCAF11	24583404	24594451	6350	0.351	1.275	0.035247894	0.139810429
chr14	ENSG00000100890	KIAA0391	35591052	35743271	3433	0.157	1.115	0.373685121	0.61816665
chr14	ENSG00000100889	PCK2	24563262	24579807	4189	0.206	1.154	0.307610009	0.554616623
chr14	ENSG00000100888	CHD8	21853353	21924285	9781	0.487	1.401	0.002718626	0.021340974
chr14	ENSG00000100883	SRP54	35451163	35498773	3899	0.11	1.08	0.50821634	0.73033773
chr14	ENSG00000100867	DHRS2	24099324	24114848	7556	-0.249	0.841	0.526650874	0.744402744
chr14	ENSG00000100865	CINP	102808956	102829253	3528	0.239	1.181	0.240174296	0.482937707
chr14	ENSG00000100852	ARHGAP5	32545320	32628934	10887	-0.092	0.938	0.653464039	0.83118045
chr14	ENSG00000100842	EFS	23825611	23834961	3237	-0.857	0.552	0.054879177	0.188864986
chr14	ENSG00000100836	PABPN1	23790498	23795394	3876	0.516	1.43	0.003357077	0.025177378
chr14	ENSG00000100823	APEX1	20923350	20925927	1882	0.244	1.185	0.205689122	0.439946777
chr14	ENSG00000100815	TRIP11	92432335	92507240	10372	0.164	1.12	0.356462528	0.602940097
chr14	ENSG00000100814	CCNB1IP1	20779527	20801471	3680	0.421	1.339	0.018598382	0.08911374
chr14	ENSG00000100813	ACIN1	23527773	23564823	9110	0.819	1.764	8.67E-06	0.000141885
chr14	ENSG00000100811	YY1	100704635	100749129	7481	0.262	1.199	0.137158213	0.342600385
chr14	ENSG00000100804	PSMB5	23485752	23504439	1765	0.264	1.201	0.129701398	0.331058482
chr14	ENSG00000100802	C14orf93	23456110	23479375	3250	0.195	1.145	0.413001017	0.652561193
chr14	ENSG00000100796	SMEK1	91923955	91976898	5912	0.318	1.247	0.065669052	0.212617884
chr14	ENSG00000100784	RPS6KA5	91336799	91526980	5133	-0.303	0.81	0.27758912	0.523191227
chr14	ENSG00000100767	PAPLN	73704205	73741348	7699	-0.727	0.604	0.06839515	0.218417739
chr14	ENSG00000100764	PSMC1	90722839	90738968	3356	0.304	1.235	0.073432735	0.228739917
chr14	ENSG00000100749	VRK1	97263641	97398059	2744	0.365	1.288	0.10825911	0.293652631
chr14	ENSG00000100744	GSKIP	96829814	96853625	4545	-0.041	0.972	0.82312349	0.922156239
chr14	ENSG00000100731	PCNX	71374122	71582099	16715	0.136	1.099	0.41814515	0.65726886
chr16	ENSG00000100726	TELO2	1543345	1560458	4239	0.339	1.264	0.151735517	0.36497666
chr14	ENSG00000100722	ZC3H14	89029253	89079853	6890	0.333	1.259	0.05224068	0.182720511
chr14	ENSG00000100714	MTHFD1	64854749	64926722	5924	0.494	1.409	0.015242367	0.077730943
chr14	ENSG00000100711	ZFYVE21	104182067	104200005	8390	0.093	1.067	0.623462654	0.811733127
chr14	ENSG00000100697	DICER1	95552565	95624347	12292	0.438	1.354	0.030427826	0.126258635
chr14	ENSG00000100665	SERPINA4	95027428	95036250	2338	-0.156	0.898	0.782887264	0.901081606
chr14	ENSG00000100664	EIF5	103799881	103811362	8505	0.267	1.203	0.208102624	0.44309851
chr14	ENSG00000100650	SRSF5	70193617	70238722	5357	0.002	1.001	0.993086058	0.997793319
chr14	ENSG00000100647	KIAA0247	70078313	70181859	5830	-0.606	0.657	0.001238302	0.01119487
chr14	ENSG00000100644	HIF1A	62162231	62214976	5150	-0.278	0.824	0.159271411	0.375719316
chr14	ENSG00000100632	ERH	69846848	69865344	1438	0.227	1.171	0.250297231	0.493355366
chr14	ENSG00000100629	CEP128	80943330	81425861	9495	0.704	1.628	0.005180075	0.034789067
chr14	ENSG00000100626	GALNT16	69725994	69821183	8235	-0.654	0.636	0.14367607	0.352278529
chr14	ENSG00000100625	SIX4	61176246	61191066	6658	0.126	1.091	0.482252496	0.710097954
chr14	ENSG00000100614	PPM1A	60712470	60765805	11860	-0.204	0.868	0.204332025	0.438281608
chr14	ENSG00000100612	DHRS7	60610838	60636574	3248	-0.687	0.621	0.000784215	0.007557365
chr14	ENSG00000100605	ITPK1	93403259	93582665	6783	0.327	1.255	0.06888635	0.219518813
chr14	ENSG00000100604	CHGA	93389425	93401638	3102	0.899	1.865	0.024816934	0.109733665
chr14	ENSG00000100603	SNW1	78183942	78227550	2432	0.198	1.147	0.222719011	0.462031253
chr14	ENSG00000100601	ALKBH1	78138747	78174363	2844	0.306	1.236	0.203055714	0.436432733
chr14	ENSG00000100600	LGMN	93170152	93215047	3899	-0.26	0.835	0.2253677	0.465215198
chr14	ENSG00000100599	RIN3	92980118	93155339	8683	-0.403	0.756	0.083951618	0.249951598
chr14	ENSG00000100596	SPTLC2	77972340	78083116	9143	0.197	1.146	0.306375147	0.553166247
chr14	ENSG00000100593	ISM2	77940740	77965210	4145	0.691	1.614	0.176683013	0.401353004
chr14	ENSG00000100592	DAAM1	59655364	59838123	10712	0.428	1.345	0.042098687	0.15786569
chr14	ENSG00000100591	AHSA1	77924213	77935817	2948	0.436	1.353	0.024211123	0.108113734
chr14	ENSG00000100583	SAMD15	77843032	77857840	2616	0.499	1.413	0.083274324	0.248504258
chr14	ENSG00000100580	TMED8	77801364	77843452	7784	-0.03	0.98	0.883079176	0.950014466
chr14	ENSG00000100578	KIAA0586	58894103	59015216	7393	0.147	1.107	0.544397959	0.757408605
chr14	ENSG00000100577	GSTZ1	77787227	77797940	8477	0.676	1.598	0.014843273	0.076150605
chr14	ENSG00000100575	TIMM9	58875212	58894332	1500	-0.128	0.915	0.562270802	0.769774484
chr14	ENSG00000100568	VTI1B	68113792	68141548	5789	0.094	1.067	0.598648136	0.795051305
chr14	ENSG00000100567	PSMA3	58711549	58738730	3119	-0.08	0.946	0.652170408	0.830194854
chr14	ENSG00000100564	PIGH	68048672	68067004	2915	0.052	1.037	0.824447623	0.922708486
chr14	ENSG00000100558	PLEK2	67853700	67878917	1603	-0.836	0.56	0.070481756	0.222905211
chr14	ENSG00000100557	C14orf105	57936019	57960585	4107	0.974	1.965	0.116328039	0.307885689
chr14	ENSG00000100554	ATP6V1D	67761088	67826982	4251	-0.183	0.881	0.280699563	0.526681254
chr14	ENSG00000100532	CGRRF1	54976530	55005567	4104	-0.253	0.839	0.322792239	0.569715319
chr14	ENSG00000100528	CNIH1	54893654	54908149	1684	-0.336	0.792	0.085076772	0.252231358
chr14	ENSG00000100526	CDKN3	54863567	54886936	1829	0.468	1.383	0.065824614	0.21292043
chr14	ENSG00000100523	DDHD1	53510686	53620000	10721	-0.108	0.928	0.658250464	0.834207393
chr14	ENSG00000100522	GNPNAT1	53241912	53258386	4009	0.002	1.001	0.992308404	0.997757802
chr14	ENSG00000100519	PSMC6	53173890	53195305	7482	-0.076	0.949	0.690313154	0.853322863
chr14	ENSG00000100504	PYGL	51324609	51411454	4798	-0.576	0.671	0.08492594	0.251935286
chr14	ENSG00000100503	NIN	51186481	51297839	13683	-0.065	0.956	0.778534011	0.899111717
chr14	ENSG00000100490	CDKL1	50796310	50883179	5961	0.143	1.104	0.629484517	0.815526291
chr14	ENSG00000100485	SOS2	50583847	50698276	6929	-0.369	0.774	0.076293078	0.234443221
chr14	ENSG00000100483	VCPKMT	50575350	50583318	2055	-0.012	0.992	0.969141862	0.989006679
chr14	ENSG00000100479	POLE2	50110273	50155140	2955	0.344	1.27	0.310411808	0.55704461
chr14	ENSG00000100478	AP4S1	31494312	31562818	4393	0.116	1.084	0.706450191	0.862523292
chr14	ENSG00000100473	COCH	31343720	31364271	3623	0.081	1.057	0.847104314	0.933948209
chr14	ENSG00000100462	PRMT5	23389720	23398794	3467	0.415	1.333	0.015353429	0.077981284
chr14	ENSG00000100461	RBM23	23369854	23388393	6584	0.426	1.343	0.008873195	0.052120969
chr14	ENSG00000100445	SDR39U1	24908972	24912111	3099	0.517	1.431	0.001263788	0.011369981
chr14	ENSG00000100442	FKBP3	45584803	45604522	2262	-0.044	0.97	0.82020284	0.92151177
chr14	ENSG00000100441	KHNYN	24898492	24910540	7515	0.59	1.505	0.000541825	0.005532646
chr14	ENSG00000100439	ABHD4	23067146	23081265	3117	0.034	1.024	0.855427427	0.937894593
chr22	ENSG00000100429	HDAC10	50683612	50689834	4951	-0.436	0.739	0.153357017	0.367062818
chr22	ENSG00000100427	MLC1	50497820	50524331	4297	-0.784	0.581	0.342531505	0.588055996
chr22	ENSG00000100426	ZBED4	50247490	50283726	6893	0.094	1.068	0.645614853	0.826405747
chr22	ENSG00000100425	BRD1	50166931	50221160	5850	0.114	1.082	0.537158244	0.752280776
chr22	ENSG00000100422	CERK	47080308	47134158	4938	-0.374	0.771	0.058315108	0.196738315
chr22	ENSG00000100418	DESI1	41994032	42017100	4972	-0.052	0.964	0.792097859	0.906983051
chr22	ENSG00000100417	PMM1	41972898	41985894	5082	-0.456	0.729	0.107740567	0.292775755
chr22	ENSG00000100416	TRMU	46726772	46753237	8584	0.422	1.34	0.063916965	0.208937869
chr22	ENSG00000100413	POLR3H	41921808	41940610	6577	0.08	1.057	0.626982242	0.814194478
chr22	ENSG00000100412	ACO2	41865129	41924993	4041	-0.017	0.988	0.926584806	0.969103889
chr22	ENSG00000100410	PHF5A	41855721	41864729	1235	-0.077	0.948	0.728962665	0.874935685
chr22	ENSG00000100403	ZC3H7B	41697526	41756151	10525	0.174	1.128	0.334613631	0.580993074
chr22	ENSG00000100401	RANGAP1	41641615	41682255	5463	0.412	1.331	0.021137737	0.097891932
chr22	ENSG00000100399	CHADL	41625517	41636938	2596	-0.141	0.907	0.629114837	0.815257429
chr22	ENSG00000100395	L3MBTL2	41601209	41627275	6451	0.056	1.04	0.755810474	0.88740002
chr22	ENSG00000100393	EP300	41487790	41576081	9585	0.163	1.12	0.390806845	0.633288009
chr22	ENSG00000100387	RBX1	41347351	41369313	3092	-0.325	0.798	0.087341058	0.256477937
chr22	ENSG00000100385	IL2RB	37521878	37571094	4700	-5.671	0.02	1.08E-25	1.39E-23
chr22	ENSG00000100380	ST13	41220539	41253026	4147	-0.215	0.862	0.258171867	0.501622919
chr22	ENSG00000100379	KCTD17	37447779	37459430	2783	-0.385	0.766	0.117210122	0.309396203
chr22	ENSG00000100376	FAM118A	45704849	45737836	6512	0.101	1.073	0.716476821	0.868070772
chr22	ENSG00000100372	SLC25A17	41165634	41215403	3989	-0.18	0.883	0.385628953	0.628458185
chr22	ENSG00000100368	CSF2RB	37309670	37336491	5061	-6.788	0.009	7.13E-13	3.08E-11
chr22	ENSG00000100365	NCF4	37257030	37274057	1759	-6.67	0.01	3.80E-25	4.65E-23
chr22	ENSG00000100364	KIAA0930	45586219	45636650	10019	-0.513	0.701	0.005420714	0.036028626
chr22	ENSG00000100360	IFT27	37154246	37172300	8009	0.018	1.013	0.939645901	0.974827445
chr22	ENSG00000100359	SGSM3	40766595	40806293	4770	-0.16	0.895	0.419042805	0.658004726
chr22	ENSG00000100354	TNRC6B	40440821	40731812	19998	0.366	1.289	0.062461775	0.205864126
chr22	ENSG00000100353	EIF3D	36906897	36925483	4070	0.005	1.004	0.977371774	0.992071229
chr22	ENSG00000100350	FOXRED2	36883237	36903148	5577	0.436	1.352	0.031309559	0.128753179
chr22	ENSG00000100348	TXN2	36863083	36878077	2050	-0.072	0.951	0.675784335	0.844840619
chr22	ENSG00000100347	SAMM50	44351301	44406411	6435	-0.039	0.973	0.812068978	0.918365163
chr22	ENSG00000100345	MYH9	36677327	36784063	8959	-0.105	0.93	0.652259076	0.830240205
chr22	ENSG00000100344	PNPLA3	44319619	44360368	3232	0.12	1.086	0.641298279	0.823160351
chr22	ENSG00000100342	APOL1	36649056	36663576	3519	-2.105	0.232	2.69E-07	5.82E-06
chr22	ENSG00000100336	APOL4	36585172	36600886	4375	-1.332	0.397	0.001554833	0.013520808
chr22	ENSG00000100335	MIEF1	39895437	39914137	7555	0.074	1.052	0.660955514	0.836096593
chr22	ENSG00000100330	MTMR3	30279144	30426855	9903	0.074	1.053	0.678603483	0.846114613
chr22	ENSG00000100325	ASCC2	30184597	30234271	5394	0.022	1.016	0.89919252	0.957082331
chr22	ENSG00000100324	TAB1	39795746	39833065	4456	0.089	1.064	0.641435241	0.823277419
chr22	ENSG00000100321	SYNGR1	39745930	39781593	6945	-0.174	0.886	0.448220623	0.68335536
chr22	ENSG00000100320	RBFOX2	36134783	36424473	10014	-0.172	0.888	0.294663959	0.540703106
chr22	ENSG00000100319	ZMAT5	30126945	30163000	3315	-0.323	0.799	0.203560169	0.437160358
chr22	ENSG00000100316	RPL3	39708887	39716394	4787	-0.166	0.891	0.462210657	0.69433866
chr22	ENSG00000100314	CABP7	30116073	30127828	3259	-0.32	0.801	0.271487153	0.516615215
chr22	ENSG00000100311	PDGFB	39619364	39640756	3761	-0.399	0.758	0.083048255	0.2479184
chr22	ENSG00000100307	CBX7	39516172	39548679	7461	-0.497	0.709	0.059011151	0.198305683
chr22	ENSG00000100304	TTLL12	43562628	43583139	4622	0.118	1.085	0.521355799	0.740233075
chr22	ENSG00000100302	RASD2	35936915	35950048	3412	-1.61	0.328	0.00935446	0.054274572
chr22	ENSG00000100300	TSPO	43547520	43559248	1455	-0.664	0.631	0.003173749	0.024154859
chr22	ENSG00000100299	ARSA	51061182	51066607	2938	-0.724	0.605	0.003661512	0.027010217
chr22	ENSG00000100297	MCM5	35796056	35821423	7338	0.229	1.172	0.300785042	0.547800839
chr22	ENSG00000100296	THOC5	29901868	29951205	7878	-0.012	0.992	0.942735608	0.975756043
chr22	ENSG00000100294	MCAT	43528212	43539400	2388	0.041	1.029	0.855101763	0.937671838
chr22	ENSG00000100292	HMOX1	35776354	35790207	2405	-3.127	0.114	3.59E-12	1.44E-10
chr22	ENSG00000100290	BIK	43506754	43525718	953	-0.122	0.919	0.702009972	0.859806904
chr22	ENSG00000100288	CHKB	51017378	51039884	3021	0.016	1.011	0.948391045	0.978799029
chr22	ENSG00000100285	NEFH	29876219	29887379	3783	-2.199	0.218	0.000104648	0.001351632
chr22	ENSG00000100284	TOM1	35695268	35743985	5869	-0.675	0.627	0.000543554	0.005544007
chr22	ENSG00000100281	HMGXB4	35653445	35691800	6006	-0.168	0.89	0.402523551	0.643431847
chr22	ENSG00000100280	AP1B1	29723669	29819168	6721	-0.24	0.847	0.191193653	0.420474843
